title	year	text
For Your Eyes Only	1981	After a British spy boat sinks, a marine archaeologist, Sir Timothy Havelock, is tasked to retrieve its Automatic Targeting Attack Communicator (ATAC) communication system before the Russians do. After Havelock is murdered by Gonzales, a Cuban hit-man, Bond is ordered to find out who hired Gonzales. While investigating, Bond is captured, but Gonzales is subsequently killed by Havelock's daughter Melina, and she and Bond escape. Bond identifies one of those present with Gonzales as Emile Leopold Locque and so follows a lead to Italy and meets his contact, Luigi Ferrara, and a well-connected Greek businessman and intelligence informant, Aris Kristatos. Kristatos tells Bond that Locque is employed by Milos Columbo, Kristatos' former organised crime partner. After Ferrara is murdered—and the evidence points to Columbo—Bond is captured by men working for Columbo. Columbo then explains that Locque was actually hired by Kristatos, who is working for the KGB to retrieve the ATAC. Bond and Melina recover the ATAC but are captured by Kristatos. They escape and follow Kristatos to Greece, where he is killed and the ATAC is destroyed by Bond.
Octopussy	1983	Bond investigates the murder of 009, killed in East Berlin while dressed as a circus clown and carrying a fake Fabergé egg. An identical egg appears at auction and Bond establishes the buyer, exiled Afghan prince, Kamal Khan is working with Orlov, a renegade Soviet general, who is seeking to expand Soviet borders into Europe. Bond meets Octopussy, a wealthy woman who leads the Octopus cult. Bond finds out that Orlov has been supplying Khan with priceless Soviet treasures, replacing them with replicas, while Khan has been smuggling the real versions into the West, via Octopussy's circus troupe. Bond infiltrates the circus, and finds that Orlov replaced the Soviet treasures with a nuclear warhead, primed to explode at a US Air Force base in West Germany. The explosion would trigger Europe into seeking disarmament, in the belief that the bomb was an American one that was detonated by accident, leaving the West's borders open to Soviet invasion. Bond deactivates the warhead and then he returns to India, joining an assault on Khan's palace.
Never Say Never Again	1983	Bond investigates the hijacking of two cruise missiles with live nuclear warheads which had been taken by SPECTRE. He meets Domino Petachi, the pilot's sister, and her lover, Maximillian Largo, SPECTRE's Number One, who directly responds to Blofeld. Following them to France, Bond informs Domino of her brother's death and subsequently finds his MI6 colleague killed by Fatima Blush, another SPECTRE agent: Bond kills her. Bond and Felix Leiter then attempt to board Largo's motor yacht, the Flying Saucer, in search of the missing nuclear warheads. Bond becomes trapped and is taken, with Domino, to Palmyra, Largo's base of operations in North Africa, but Bond subsequently escapes with Domino. The two agents ambush Largo while he is placing one of the bombs.
A View to a Kill	1985	Bond investigates millionaire industrialist Max Zorin, who is trying to corner the world market in microchips. He establishes that Zorin was previously trained and financed by the KGB, but has now gone rogue. Zorin unveils to a group of investors his plan to destroy Silicon Valley which will give him a monopoly in the manufacturing of microchips. Bond uncovers Zorin's plan is to detonate explosives beneath the lakes along the Hayward and San Andreas faults, which will cause them to flood. A larger bomb is also on site in the mine to destroy a "geological lock" that prevents the two faults from moving at the same time. Bond destroys the bomb, and subsequently kills Zorin.
The Living Daylights	1987	Bond aids the defection of KGB officer General Georgi Koskov, by wounding a female KGB sniper, Kara Milovy, a cellist. During his debriefing Koskov alleges KGB's old policy of Smiert Spionam, meaning Death to Spies, has been revived by General Leonid Pushkin, the new head of the KGB. Koskov is subsequently abducted from the safe-house and Bond is ordered to kill Pushkin. Bond tracks down Milovy and establishes she is Koskov's girlfriend and that the defection was staged. He subsequently finds out that Koskov is a friend of the arms dealer Brad Whitaker. After meeting Pushkin and faking his assassination by Bond, Bond investigates a scheme by Koskov and Whitaker to embezzle KGB funds and use them to purchase diamonds, which they then use to purchase drugs. After Koskov purchases the drugs, Bond destroys them. Koskov is subsequently arrested by Pushkin, while Bond kills Whitaker.
Licence to Kill	1989	Bond aids Felix Leiter in the capture of drugs lord Franz Sanchez; Sanchez escapes and maims Leiter, killing his wife. Bond swears revenge, but is ordered to return to duty by M. Bond refuses, and M revokes his licence to kill, causing Bond to become a rogue agent; although officially stripped of his status, he is unofficially given help by Q. Bond journeys to Sanchez's home in the Republic of Isthmus and is taken onto Sanchez's staff, where he manages to raise Sanchez's suspicions against a number of his employees. When Bond is taken to Sanchez's main base and drugs refinery, he is recognised by one of Sanchez's men and captured. He escapes, destroying the refinery in the process, and pursues Sanchez, killing him.
GoldenEye	1995	In 1986 Bond and Alec Trevelyan—agent 006—infiltrate an illicit Soviet chemical weapons facility and plant explosive charges. Trevelyan is shot, but Bond escapes from the facility as it explodes. Nine years later, Bond witnesses the theft by criminal organisation Janus of a prototype Eurocopter Tiger helicopter that can withstand an electromagnetic pulse. Janus uses the helicopter to steal the control disk for the dual GoldenEye satellite weapons, using the GoldenEye to destroy the complex with an electromagnetic pulse; there are two survivors of the attack, the programmers, Natalya Simonov and Boris Grishenko. Bond investigates the attack and travels to Russia where he locates Simonova and learns that Trevelyan, who had faked his own death, was the head of Janus. Simonova tracks computer traffic to Cuba and she and Bond travel there and locate Trevelyan, who reveals his plan to steal money from the Bank of England before erasing all of its financial records with the GoldenEye, concealing the theft and destroying Britain's economy. Bond and Simonova destroy the satellite facility, killing Trevelyan and Grishenko in the process.
Tomorrow Never Dies	1997	Bond investigates the sinking of a British warship in Chinese waters, the theft of one of the ship's cruise missiles—and the shooting down of a Chinese fighter plane. He uncovers a link to media mogul Elliot Carver which suggests that Carver had purchased a GPS encoder on the black market. Bond encounters Chinese agent Wai Lin, who is also investigating the matter and the two agree to work together. They discover that Carver had used the GPS encoder to push the British ship off course and into Chinese waters to incite a war for ratings. With the British fleet on their way to China, Bond and Wai Lin find Carver's stealth ship, board it and prevent the firing of a British cruise missile at Beijing. They blow a hole in the ship, exposing it to radar, leading to its sinking averting war between Britain and China.
The World Is Not Enough	1999	Bond recovers money for Sir Robert King, a British oil tycoon and friend of M, but the money is booby-trapped and kills King shortly afterwards. Bond traces the money to Renard, a KGB agent-turned-terrorist, who had previously kidnapped King's daughter Elektra. MI6 believes that Renard is targeting Elektra King a second time and Bond is assigned to protect her; the pair are subsequently attacked. Bond visits Valentin Zukovsky and is informed that Elektra's head of security, Davidov, is in league with Renard: Bond kills Davidov and follows the trail to a Russian ICBM base in Kazakhstan. Posing as a Russian nuclear scientist, Bond meets American nuclear physicist Christmas Jones. The two witness Renard stealing the GPS locator card and a half quantity of weapons-grade plutonium from a bomb and set off an explosion, from which Bond and Jones escape. Elektra kidnaps M after she thinks Bond had been killed and Bond establishes that Elektra intends to create a nuclear explosion in a submarine in Istanbul to increase the value of her own oil pipeline. Bond frees M, kills Elektra and then disarms the bomb on the submarine where he kills Renard.
Die Another Day	2002	Bond investigates North Korean Colonel Tan-Sun Moon, who is illegally trading African conflict diamonds for weapons. Moon is apparently killed and Bond is captured and tortured for 14 months, after which he is exchanged for Zao, Moon's assistant. Despite being suspended on his return, he decides to complete his mission and tracks down Zao to a gene therapy clinic, where patients can have their appearances altered through DNA restructuring. Zao escapes, but the trail leads to British billionaire Gustav Graves. Graves unveils a mirror satellite, "Icarus", which is able to focus solar energy on a small area and provide year-round sunshine for crop development. Bond discovers Moon has also undergone the gene therapy and has assumed the identity of Graves. Bond then exposes Moon's plan: to use the Icarus as a sun gun to cut a path through the Korean Demilitarized Zone with concentrated sunlight, allowing North Korean troops to invade South Korea and reunite the countries through force. Bond disables the Icarus controls, kills Moon and stops the invasion.
Casino Royale	2006	This serves as a reboot of the series, with Bond winning his 00 status in the pre-credits sequence. Bond is instructed to investigate the funding of terrorism. He tracks down and kills a bomb-maker and takes his mobile phone. Searching through the phone, Bond discovers a text message which he traces to Alex Dimitrios, and then on to financer Le Chiffre. Le Chiffre's investments involve short-selling stock in successful companies and then engineering terrorist attacks to sink their share prices. Bond foils Le Chiffre's plan to destroy the prototype Skyfleet airliner, which forces Le Chiffre to set up a high-stakes poker tournament at the Casino Royale to recoup his fortune. Bond is instructed to beat Le Chiffre and is aided by a member of HM Treasury, Vesper Lynd. Bond beats Le Chiffre at the poker table, but Lynd is kidnapped by Le Chiffre after the game, as is Bond, who is captured whilst pursuing them; Lynd is ransomed for the money and Bond is tortured. Le Chiffre is subsequently killed by Mr. White, a liaison between Le Chiffre and a number of his clients. Bond learns that his poker winnings were never repaid to the Treasury, which Lynd was supposed to have done, and Bond establishes that she was a double agent. Bond pursues her and is attacked by members of White's organisation: he survives, but White takes the money and Lynd sacrifices herself in exchange for Bond's life, as he later finds out from M. Bond subsequently finds and captures White.
Quantum of Solace	2008	Along with M, Bond interrogates Mr. White regarding his organisation, Quantum. M's bodyguard, Mitchell, a double agent, attacks M, enabling White to escape. Bond traces the organisation to Haiti and a connection to environmentalist Dominic Greene. Bond uncovers a plot between Greene and an exiled Bolivian General, Medrano, to put Medrano in power in Bolivia while Quantum are given a monopoly to run the water supply to the country. Bond ascertains Quantum are damming Bolivia's supply of fresh water to force the price up. Bond attacks the hotel where Greene and Medrano are finalising their plans and leaves Greene stranded in the desert with only a tin of engine oil to drink. Bond then finds Vesper Lynd's former lover and member of Quantum, Yusef Kabira.
Skyfall	2012	After an operation in Istanbul ends in disaster, Bond is missing and presumed to be dead. In the aftermath, questions are raised over M's ability to run the Secret Service, and she becomes the subject of a government review over her handling of the situation. The Service itself is attacked, prompting Bond's return to London. His presence assists MI6's investigation in uncovering a lead, and Bond is sent to Shanghai and Macau in pursuit of a mercenary named Patrice. There, he establishes a connection to Raoul Silva, a former MI6 agent who was captured and tortured by Chinese agents. Blaming M for his imprisonment, he sets in motion a plan to ruin her reputation before murdering her. Bond saves M and attempts to lure Silva into a trap, and while he is successful in repelling Silva's assault, M is mortally wounded. Bond returns to active duty under the command of the new M, Gareth Mallory.
Spectre	2015	Following her death in Skyfall, M sends Bond a posthumous message that leads him to thwart a terrorist attack in Mexico City. Gareth Mallory takes Bond off active duty for his illegal operation, but Bond continues his investigation off the books. The trail leads him first to Rome, where he learns of a sinister organisation known as "Spectre"; and later to Austria where he finds former adversary Mr. White dying of thallium poisoning. White asks Bond to protect his daughter Madeliene Swann from Spectre and its leader, Franz Oberhauser. Meanwhile, Mallory comes under pressure to have British intelligence join a global intelligence-sharing network code-named "Nine Eyes". With Swann's help, Bond tracks Spectre to Morocco and learns that Spectre is behind the terror attacks, creating a need for Nine Eyes. Spectre controls Nine Eyes, giving them access to the intelligence-sharing network. Oberhauser captures and tortures Bond, revealing that his father was Bond's guardian after the deaths of Bond's parents. Now known as Ernst Stavro Blofeld, he claims responsibility for everything Bond has suffered in his career. Bond and Swann escape and return to London where Bond joins forces with Mallory and Q to shut down Nine Eyes and apprehend Blofeld.
